"DATE","TIME","OBS_WSPD","OBS_WDIR","OBS_PSFC","HWRF_WSPD","HWRF_WDIR","HWRF_PSFC","WRF_WSPD","WRF_WDIR","WRF_PSFC"
20181010.000000,0,5.59746,61,1008,4.84897,69.257,1008.03,6.66273,74.6543,1007.73
20181010.000000,100,6.89274,68,1007.8,8.25151,80.6102,1007.02,8.78061,69.9707,1006.24
20181010.000000,200,8.79454,87,1007.9,8.85401,88.8949,1007.59,10.9138,49.9201,1007.22
20181010.000000,300,8.8922,108,1008.2,9.71782,91.6523,1006.89,14.1272,89.5334,1006.98
20181010.000000,400,8.49128,103,1007.7,9.81957,99.4769,1007.13,14.616,101.113,1006.92
20181010.000000,500,9.09266,110,1007,10.7708,102.932,1006.17,14.9849,97.2839,1005.61
20181010.000000,600,8.39362,140,1006.3,12.2436,107.744,1006.08,16.1064,107.492,1006.18
20181010.000000,700,10.6912,144,1006,9.64948,96.9098,1002.2,16.2048,112.158,1001.27
20181010.000000,800,11.7912,129,1004.4,12.1313,97.4452,1002.48,18.1959,108.559,1001.03
20181010.000000,900,11.1898,130,1003,13.2748,100.563,1001.54,20.1099,104.363,1001.66
20181010.000000,1000,11.6884,137,1002,15.9001,103.49,999.875,21.444,104.517,999.574
20181010.000000,1100,16.9877,148,1001.4,18.888,109.179,998.98,24.9887,108.267,998.473
20181010.000000,1200,16.484,128,999.6,28.3707,124.349,997.731,29.8974,114.69,996.603
20181010.000000,1300,15.0859,143,998.2,24.858,124.219,991.529,32.5153,124.801,990.421
20181010.000000,1400,18.5862,143,996.1,26.1124,128.673,989.226,37.8637,126.363,986.282
20181010.000000,1500,22.0814,152,993.7,30.4229,134.421,985.231,43.1242,132.936,982.517
20181010.000000,1600,23.0786,163,989.6,34.533,150.661,982.555,40.3435,151.905,981.194
20181010.000000,1700,27.4784,185,986.4,35.1998,172.813,981.568,37.9578,173.898,982.961
20181010.000000,1800,25.1757,205,986.1,49.5583,201.874,980.332,44.6892,190.389,984.061
20181010.000000,1900,16.8849,213,990.4,45.8524,211.655,971.963,41.4739,204.512,982.935
20181010.000000,2000,12.9888,224,993.9,33.7856,232.82,982.633,32.2617,232.666,986.142
20181010.000000,2100,10.8917,234,996.6,25.0058,241.38,990.494,34.8973,237.879,990.342
20181010.000000,2200,9.7917,236,998.2,20.3337,250.214,995.321,27.5356,244.625,995.709
20181010.000000,2300,9.69404,242,999.8,16.0127,254.122,999.91,23.0028,250.866,999.903
20181012.000000,0,7.39132,267,1001.6,16.5071,256.355,1004.21,22.1778,256.906,1002.65
20181012.000000,100,5.69512,259,1003.2,8.6814,260.398,1003.35,19.3262,259.916,1002.09
20181012.000000,200,5.79278,273,1004.3,7.62591,260.478,1003.47,16.5267,262.77,1002.93
20181012.000000,300,3.598,264,1005.2,6.25136,259.594,1005.29,14.1991,265.42,1005.35
20181012.000000,400,3.69566,262,1006.2,5.91457,260.421,1006.63,13.2336,264.104,1005.87
20181012.000000,500,3.19708,262,1006.9,6.20955,256.061,1006.32,13.8578,258.948,1006.03
20181012.000000,600,3.19708,253,1007.1,8.01234,269.567,1006.71,11.076,266.903,1006.4
20181012.000000,700,3.99892,267,1007.7,5.20053,286.941,1007.76,9.26031,277.296,1007.11
20181012.000000,800,2.19992,271,1008,5.22525,284.681,1007.89,8.06063,278.271,1007.61
20181012.000000,900,2.49804,274,1008.6,5.38265,273.916,1007.68,7.8449,274.752,1007.52
20181012.000000,1000,2.09712,288,1009,5.54569,274.884,1008.71,8.29683,277.11,1008.76
