"DATE","TIME","OBS_WSPD","OBS_WDIR","OBS_PSFC","LES_WSPD","LES_WDIR","LES_GUST","LES_MEANSPD","LES_PSFC"
91017.000000,1200,27.389,37.63,999.9,14.2867,43.1332,0,0,997.202
91017.000000,1230,30.538,43.21,998.9,18.9138,31.2404,19.78,18.7406,997.876
91017.000000,1300,29.721,51.28,997.7,21.3973,24.9416,21.5985,19.9975,997.655
91017.000000,1330,29.469,67.38,998,22.3453,30.8551,22.3453,21.3796,997.497
91017.000000,1400,26.495,63,997,23.077,33.0093,24.2388,22.5327,995.863
91017.000000,1430,31.024,62.17,995.7,20.9618,34.8926,24.6752,22.2188,994.87
91017.000000,1500,35.922,51.85,994.4,23.6805,35.9087,25.8508,23.6266,994.147
91017.000000,1530,38.857,52.92,992.9,25.8194,35.9193,26.5899,24.9281,992.676
91017.000000,1600,36.933,58.66,991.6,28.0441,40.9631,29.9664,27.1453,991.399
91017.000000,1630,36.233,61.26,990.2,27.947,43.4363,31.2591,28.9054,989.049
91017.000000,1700,37.03,64.75,988.6,29.238,43.3074,32.8036,29.9136,986.706
91017.000000,1730,45.311,55.45,986.2,30.6067,44.5208,32.6575,30.6171,984.835
91017.000000,1800,48.849,53.09,983,31.3592,40.8135,34.0231,30.888,980.629
91017.000000,1830,47.527,63.25,980.7,29.7124,57.6021,40.5275,31.0523,977.874
91017.000000,1900,42.531,60.18,979.1,32.2188,53.4562,36.4674,30.3484,975.169
91017.000000,1930,44.903,54.74,975.8,29.6706,51.8931,37.9331,32.3232,969.305
91017.000000,2000,47.935,51.34,972.9,31.9197,57.7873,38.044,32.6755,966.006
91017.000000,2030,52.523,55.89,968.6,35.5831,52.9721,40.4361,34.3162,959.206
91017.000000,2100,55.613,48.8,964.1,44.578,51.2241,44.6161,37.6215,948.98
91017.000000,2130,64.108,38.2,957.8,33.7083,55.7905,48.5403,38.376,939.283
91017.000000,2200,69.745,26.09,951.9,13.5709,27.9241,35.6591,22.2176,937.427
91017.000000,2230,51.784,5.86,951.4,12.6013,319.886,14.5898,10.7254,940.154
91017.000000,2300,43.017,302.52,957,18.0281,277.97,18.1446,13.3904,943.042
91017.000000,2330,31.743,286.02,964,26.8381,276.45,26.9032,21.3949,947.049
91117.000000,0,26.048,282.96,969.6,33.3829,294.853,34.6962,30.9522,953.276
91117.000000,30,22.685,278.28,973.9,41.7061,291.248,46.2967,39.0512,956.067
91117.000000,100,24.317,278.74,976.5,38.6659,269.11,42.3306,38.7576,960.582
91117.000000,130,26.689,273.7,979.4,32.4278,262.639,39.4315,36.3815,966.272
91117.000000,200,29.352,265.15,981.9,30.3425,258.725,40.8374,34.5808,972.378
91117.000000,230,32.89,267.72,983.8,30.6241,254.774,32.6697,31.1226,976.089
91117.000000,300,31.685,261.85,986,28.3191,247.28,30.9019,28.5283,979.181
91117.000000,330,27.972,265.2,987.7,30.3863,238.868,31.1552,28.1356,982.551
91117.000000,400,36.816,251.18,988.9,29.8015,235.652,33.0936,28.1057,984.614
91117.000000,430,41.618,246.98,989.7,30.7653,229.783,32.301,29.8775,987.253
91117.000000,500,38.43,245.54,991.2,26.1138,237.825,31.3163,27.2693,989.935
91117.000000,530,42.765,243.21,992.5,23.5135,241.089,26.2258,25.0517,991.985
91117.000000,600,41.035,244.36,993.8,19.3833,249.255,23.517,21.4495,996.82
91117.000000,630,34.445,253.04,995.3,17.9445,250.115,19.4001,18.5844,996.348
91117.000000,700,40.743,244.24,995.9,16.8496,248.51,17.999,17.1309,995.275
91117.000000,730,40.685,247.19,997.2,17.3709,245.134,20.6392,17.6412,996.468
91117.000000,800,32.832,242.53,998.3,15.8196,244.963,18.7144,16.6096,997.604
91117.000000,830,29.08,238.26,998.6,14.7727,240.698,16.0046,15.2345,997.63
91117.000000,900,29.449,246.47,999.7,15.1582,234.818,15.2676,14.8077,998.537
91117.000000,930,30.421,232.15,999.9,13.435,231.023,15.1916,14.3529,999.89
91117.000000,1000,27.7,233.04,1000.6,13.5483,231.669,14.7683,13.9997,1000.15
91117.000000,1030,29.527,239.73,1001.4,13.4367,236.909,15.2901,13.6083,1000.69
91117.000000,1100,25.62,236.41,1002,12.9187,241.946,16.4684,13.6001,1002.41
91117.000000,1130,27.408,238.12,1002.6,13.302,264.814,16.7478,13.3995,1003.53
91117.000000,1200,25.464,240.71,1003,13.6414,268.491,15.0723,14.1345,1003.36
