"DATE","TIME","OBS_WSPD","OBS_WDIR","OBS_GUST","OBS_PSFC","LES_WSPD","LES_WDIR","LES_GUST","LES_MEANSPD","LES_PSFC","OBS_TIMEAVG_WSPD","OBS_TIMEAVG_GUST"
91017.000000,1200,15.94,23,27.8,995.3,18.7965,48.6382,0,0,993.383,15.94,27.8
91017.000000,1230,15.75,48,25.08,995.2,10.5956,65.1146,17.7753,15.7288,995.638,13.14,23.6
91017.000000,1300,19.44,50,39.07,994.3,18.9729,32.5343,21.9404,17.9803,995.203,18.1,34.6
91017.000000,1330,16.52,36,33.63,992.9,21.7414,36.9723,23.0753,20.4036,992.947,17.6,29.1
91017.000000,1400,15.55,36,35.57,991.7,23.2766,41.4784,24.5369,21.8904,991.905,16.6,32.3
91017.000000,1430,18.47,39,34.79,989.8,24.3931,43.9586,25.3869,23.8473,989.867,19.1,35.3
91017.000000,1500,19.24,40,37.52,988.5,25.2188,42.0314,26.2852,24.495,989.477,21.3,36.6
91017.000000,1530,21.97,32,36.93,986.8,25.8039,37.5018,26.838,24.7392,987.789,20.4,35.8
91017.000000,1600,22.74,45,37.9,984.9,29.7008,42.0628,30.1882,27.6402,984.52,22.3,36.1
91017.000000,1630,27.21,42,45.87,983,31.4571,44.5487,31.591,29.6811,981.526,25.2,41.3
91017.000000,1700,27.99,35,46.85,979.4,34.9512,44.4074,34.9512,30.9132,979.155,28.2,47.3
91017.000000,1730,27.99,48,47.43,977.6,30.654,54.7967,37.8328,31.4147,975.797,26.8,47.2
91017.000000,1800,25.46,47,49.37,974.4,46.6007,64.1468,41.8183,32.6577,970.393,28.3,52.7
91017.000000,1830,28.19,54,45.1,971.8,30.7295,60.0659,41.8183,32.0572,967.195,25.8,43.6
91017.000000,1900,9999,9999,9999,9999,33.2038,62.6538,40.9187,31.9838,958.868,24.2,49.6
91017.000000,1930,25.85,36,48.01,961.7,32.7594,59.316,42.1956,33.1423,953.048,24.3,45.7
91017.000000,2000,33.63,31,53.65,953.5,35.0363,53.8171,37.2178,32.4224,948.385,35.8,58.8
91017.000000,2030,37.71,39,62.01,943.6,25.4461,44.9471,37.3754,30.0141,940.471,40.3,61.2
91017.000000,2100,5.44,14,9.14,939.9,9.08149,355.667,26.8675,14.1449,938.163,11.9,22.5
91017.000000,2130,35.96,294,43.35,942.7,17.2624,252.747,16.935,9.36207,939.263,29.5,35
91017.000000,2200,55.59,285,71.73,953.9,24.3244,249.248,25.6474,20.4652,946.22,53.2,68.6
91017.000000,2230,44.9,266,58.32,962.9,25.4569,247.22,28.2858,24.9784,952.468,46.3,60.3
91017.000000,2300,39.46,268,50.93,968.1,24.6797,248.653,30.2694,25.2024,958.074,40.9,52.8
91017.000000,2330,37.9,277,47.82,972.2,25.2092,252.575,29.721,25.1755,963.357,39.4,50.3
91117.000000,0,37.13,275,44.9,974.9,27.7311,269.57,31.7115,25.4425,967.911,36.3,45.5
91117.000000,30,33.43,266,47.43,978.2,32.8344,269.113,36.7174,30.1198,969.687,35.3,44.2
91117.000000,100,35.77,263,45.49,980.9,33.6697,253.331,40.9889,32.4934,973.379,37.2,48
91117.000000,130,39.65,259,46.26,983.2,27.6854,238.984,34.6766,29.9712,977.543,39.5,45.6
91117.000000,200,36.74,253,47.43,985.2,22.8702,230.562,28.5267,25.9799,981.939,34.7,44.8
91117.000000,230,35.18,257,42.76,986.7,30.8931,221.827,32.5829,25.8295,983.643,36.3,45.3
91117.000000,300,32.07,249,39.85,988.3,26.5312,225.731,31.7006,26.6693,985.013,32.3,44.3
91117.000000,330,37.71,242,42.76,989.7,27.9937,239.244,28.997,26.8977,988.754,36.4,43.3
91117.000000,400,36.35,241,46.07,991.1,19.7594,235.98,28.4643,22.9512,990.429,38.5,45.3
91117.000000,430,42.38,229,47.62,992.3,19.8508,233.629,26.9018,21.8588,993.47,40.8,47.3
91117.000000,500,33.82,228,48.98,993.6,17.5715,233.422,20.5338,18.0215,993.849,38.2,49.3
91117.000000,530,39.27,232,45.49,994.7,16.9776,239.998,20.2045,17.4103,995.967,37.2,46.9
91117.000000,600,34.02,230,44.32,995.6,13.9845,247.454,18.9555,13.8133,998.686,36.1,46.8
91117.000000,630,28.57,238,36.93,996.6,10.3927,259.078,14.1277,11.1909,998.978,31.3,39.3
91117.000000,700,36.35,226,42.38,997.4,9.61464,247.356,10.4702,9.67139,997.232,33.2,40.1
91117.000000,730,31.49,228,39.65,997.8,10.7104,244.99,10.7499,9.82612,998.366,32.5,40.2
91117.000000,800,27.99,223,35.18,998,8.75814,250.194,11.1925,9.65081,999.215,28.5,35.1
91117.000000,830,27.6,220,31.3,998.3,9.37978,246.907,10.6798,9.15227,999.632,26.5,32.4
91117.000000,900,26.44,219,30.71,999,9.05259,242.012,10.4725,8.99553,999.987,25.7,31.5
91117.000000,930,25.46,225,29.74,999.7,9.09336,238.502,10.525,8.79672,1000.4,25.6,30.9
91117.000000,1000,24.49,218,27.41,1000.2,10.7495,227.569,10.7533,9.27011,1000.43,25.1,28.6
91117.000000,1030,23.52,222,29.16,1000.7,10.2685,236.489,11.4645,10.4303,1002.21,24.1,29.8
91117.000000,1100,23.33,224,28.19,1001.4,9.91197,234.938,11.6753,10.8291,1003.58,22.5,28.4
91117.000000,1130,18.66,228,26.44,1001.9,10.2004,235.248,11.6416,9.82565,1003.53,20.5,25.8
91117.000000,1200,20.99,222,23.33,1002.3,8.69469,249.824,10.2358,9.26485,1004.21,19.1,21.2
