DATE_WV,TIME_WV,OBS_WIND_WV,OBS_GUST_WV,OBS_WDIR_WV,OBS_PSFC_WV,MODEL_WIND_WV,MODEL_GUST_WV,MODEL_WDIR_WV,MODEL_PSFC_WV
2018,0,18.9,27.5,350,996.2,26.288,27.5,347.252,993.615
2018,1,18.5,24.9,352,994.3,23.7237,25.5143,329.897,990.423
2018,2,21.5,32.3,99,993.7,24.2595,25.4172,331.725,989.367
2018,3,23.4,35.9,99,991.7,26.9663,27.2681,327.56,984.707
2018,4,23.7,33.3,99,986.1,28.9538,29.2271,323.791,980.871
2018,5,24.4,36.6,352,984.7,32.0878,32.2009,311.783,976.742
2018,6,24.3,37.8,99,982,33.9344,44.7872,319.912,970.59
2018,7,23.5,34,99,982,26.7673,39.1735,333.09,969.041
2018,8,23.8,34.5,356,981,26.0233,40.3703,339.394,968.127
2018,9,24.8,36.7,99,976.4,28.237,40.9624,335.247,963.203
2018,10,25.3,35.8,99,976.4,19.5871,43.6336,332.181,956.905
2018,11,11,11,99,976.4,7.65236,8.22837,350.913,954.129
2018,12,17.1,23.6,51,971.6,5.09778,7.3448,81.3195,955.207
2018,13,18.7,26.9,173,964.4,22.733,28.3715,178.65,957.218
2018,14,21.1,29.2,129,966,23.3453,27.7687,153.537,972.886
2018,15,20.2,27.9,140,976.6,27.1459,27.1459,137.162,978.196
2018,16,19.6,25.2,143,978.2,28.3083,30.837,128.739,984.725
2018,17,19.7,27.8,136,976.7,29.6104,33.937,134.855,984.126
2018,18,19.8,29.2,136,977.2,27.2149,30.4115,135.651,987.575
2018,19,22,30.2,138,977.3,29.5377,31.1898,139.488,987.94
2018,20,19.1,26.7,138,981.2,24.3181,27.4813,140.173,989.691
