"HWRF_WIND_WB","HWRF_WDIR_WB","HWRF_PSFC_WB"
22.1974,348.577,994.938
19.8992,351.901,994.977
20.6,351.165,991.263
21.3665,343.479,987.322
21.7207,345.505,984.637
22.7882,336.518,979.943
20.0697,354.22,979.018
27.1078,344.166,974.685
29.2241,342.409,967.91
25.526,353.898,964.48
25.1808,3.75301,961.057
23.5545,7.5773,959.16
21.1727,133.819,961.593
29.1215,122.212,959.556
28.4289,119.426,968.636
31.9771,125.859,973.055
31.8182,130.533,979.388
29.3822,133.566,982.875
27.1748,134.55,984.91
27.3662,138.789,986.849
27.8719,138.421,988.398
