"MODEL_WIND_WV","MODEL_GUST_WV","MODEL_WDIR_WV","MODEL_PSFC_WV"
16.1533,0,345.231,997.021
11.5307,13.971,339.912,998.031
13.9592,15.2529,329.263,994.146
14.0454,15.2325,335.632,989.448
15.0901,15.2701,329.281,987.222
15.4196,15.6235,325.597,983.999
16.9203,17.4818,324.972,979.865
16.257,17.4395,333.878,981.334
14.8649,17.6447,340.152,979.747
17.8593,22.454,332.087,974.019
20.1987,24.243,335.37,966.869
19.3437,22.4205,358.904,965.06
20.8948,22.1282,4.33174,961.936
9.41027,9.4126,66.6839,956.439
15.905,16.7593,102.79,967.739
15.8772,18.7807,101.984,976.047
14.465,18.3059,110.048,982.192
14.3736,19.9106,117.516,981.508
13.1969,19.1302,122.156,983.959
16.4754,18.7311,121.643,986.111
17.2142,17.9647,116.917,984.968
